Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2
LAND ROVER Evoque MHEV,2,4,SemiAuto-9,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,LJLXT02.0RTV,small SUV,7,21,26,23,5,No,389
LAND ROVER Range Rover,3,6,SemiAuto-8,4WD,Diesel,CA,L3LEV160,California LEV-III LEV160,LJLXT03.0GTR,standard SUV,1,22,28,24,4,No,412
LAND ROVER Range Rover,3,6,SemiAuto-8,4WD,Diesel,FA,T3B160,Federal Tier 3 Bin 160,LJLXT03.0GTR,standard SUV,1,22,28,24,4,No,412
LAND ROVER Range Rover,5,8,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LJLXT05.0FSN,standard SUV,3,16,21,18,3,No,491
LAND ROVER Range Rover,5,8,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LJLXT05.0FSN,standard SUV,3,16,21,18,3,No,491
LAND ROVER Range Rover LWB,5,8,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LJLXT05.0FSN,standard SUV,3,16,21,18,3,No,491
LAND ROVER Range Rover LWB,5,8,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LJLXT05.0FSN,standard SUV,3,16,21,18,3,No,491
LAND ROVER Range Rover LWB SVA,5,8,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LJLXT05.0FSN,standard SUV,3,13,19,15,2,No,587
LAND ROVER Range Rover LWB SVA,5,8,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LJLXT05.0FSN,standard SUV,3,13,19,15,2,No,587
LAND ROVER Range Rover MHEV,3,6,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,LJLXT03.0HTR,standard SUV,7,19,24,21,4,No,427
LAND ROVER Range Rover MHEV,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,LJLXT03.0HTR,standard SUV,7,19,24,21,4,No,427
LAND ROVER Range Rover PHEV,2,4,SemiAuto-8,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,LJLXT02.0PTW,standard SUV,7,18/42,21/42,19/42,8,Yes,260
LAND ROVER Range Rover PHEV,2,4,SemiAuto-8,4WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,LJLXT02.0PTW,standard SUV,7,18/42,21/42,19/42,8,Yes,260
LAND ROVER Range Rover SVA,5,8,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LJLXT05.0FSN,standard SUV,3,14,19,16,2,No,569
LAND ROVER Range Rover SVA,5,8,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LJLXT05.0FSN,standard SUV,3,14,19,16,2,No,569
LAND ROVER Range Rover Sport,3,6,SemiAuto-8,4WD,Diesel,CA,L3LEV160,California LEV-III LEV160,LJLXT03.0GTR,standard SUV,1,22,28,24,4,No,412
LAND ROVER Range Rover Sport,3,6,SemiAuto-8,4WD,Diesel,FA,T3B160,Federal Tier 3 Bin 160,LJLXT03.0GTR,standard SUV,1,22,28,24,4,No,412
LAND ROVER Range Rover Sport,5,8,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LJLXT05.0FSN,standard SUV,3,17,22,19,3,No,474
LAND ROVER Range Rover Sport,5,8,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LJLXT05.0FSN,standard SUV,3,17,22,19,3,No,474
LAND ROVER Range Rover Sport PHEV,2,4,SemiAuto-8,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,LJLXT02.0PTW,standard SUV,7,18/42,21/42,19/42,8,Yes,260
LAND ROVER Range Rover Sport PHEV,2,4,SemiAuto-8,4WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,LJLXT02.0PTW,standard SUV,7,18/42,21/42,19/42,8,Yes,260
LAND ROVER Range Rover Sport SVR,5,8,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LJLXT05.0FSN,standard SUV,3,15,20,16,2,No,540
LAND ROVER Range Rover Sport SVR,5,8,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LJLXT05.0FSN,standard SUV,3,15,20,16,2,No,540
LAND ROVER Range Rover Velar,2,4,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,LJLXJ02.0RTX,small SUV,7,21,27,23,5,No,384
LAND ROVER Range Rover Velar,2,4,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,LJLXJ02.0RTX,small SUV,7,21,27,23,5,No,384
LAND ROVER Range Rover Velar,3,6,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,LJLXJ03.0FSP,small SUV,7,18,24,20,4,No,439
LAND ROVER Range Rover Velar,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,LJLXJ03.0FSP,small SUV,7,18,24,20,4,No,439
LAND ROVER Range Rover Velar,5,8,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LJLXJ05.0FSM,small SUV,3,15,20,17,3,No,511
LAND ROVER Range Rover Velar,5,8,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LJLXJ05.0FSM,small SUV,3,15,20,17,3,No,511
LAND ROVER Range Rover Velar P300,2,4,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,LJLXJ02.0RTX,small SUV,7,20,26,22,4,No,399
LAND ROVER Range Rover Velar P300,2,4,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,LJLXJ02.0RTX,small SUV,7,20,26,22,4,No,399
LAND ROVER Range Rover Velar P380,3,6,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,LJLXJ03.0FSP,small SUV,7,18,24,20,4,No,439
LAND ROVER Range Rover Velar P380,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,LJLXJ03.0FSP,small SUV,7,18,24,20,4,No,439
LEXUS ES 300h,2.5,4,SCV-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,LTYXV02.5P33,midsize car,7,43,44,44,9,Yes,201
LEXUS ES 300h,2.5,4,SCV-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,LTYXV02.5P33,midsize car,7,43,44,44,9,Yes,201
LEXUS ES 350,3.5,6,SemiAuto-8,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LTYXV03.5M5B,midsize car,5,22,32,26,5,No,346
LEXUS ES 350,3.5,6,SemiAuto-8,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LTYXV03.5M5B,midsize car,5,22,32,26,5,No,346
